application_id,first_name,last_name,email,phone,annual_income,loan_amount,loan_type,dealer_id,has_coapplicant,coapplicant_name,coapplicant_income,state,zip_code,submitted_at
1,Robert,Williams,jpalmer@example.net,001-455-672-1121x64571,68690.22,47585.0,Home Improvement Loan,D001,False,,,OH,70845,2026-03-01T16:24:03
2,Luke,Hayes,sextonangela@example.com,+1-262-655-3933,40282.42,8643.73,Home Improvement Loan,D004,True,Tanner White,24286.34,PA,30255,2026-04-20T22:51:45
3,Raymond,Madden,whendricks@example.net,001-551-765-2225,104615.5,3764.17,Personal Loan,D002,False,,,NM,61749,2025-12-01T04:06:34
4,Chad,Johnson,raustin@example.org,607-441-7162x9261,20101.24,49618.37,Personal Loan,D002,False,,,AS,32537,2026-05-09T10:01:19
5,Mackenzie,Lopez,taylorzachary@example.org,001-606-720-2637x937,20918.62,2130.06,Auto Loan,D002,False,,,NE,39234,2026-02-07T18:12:21
6,Jeffrey,Hancock,twhite@example.com,543-927-7074,26066.54,48714.02,Personal Loan,D003,True,Cynthia Santiago,55195.09,WV,82648,2026-01-12T14:14:53
7,Justin,Barnett,laura83@example.net,001-993-658-1713,69720.06,49178.31,Home Improvement Loan,D003,False,,,NC,46026,2025-09-04T04:34:27
8,Brandon,Montoya,kyle70@example.net,(512)533-2147x972,108439.98,23074.46,Home Improvement Loan,D004,True,Theresa Calhoun,51613.73,AS,87283,2025-10-08T06:32:59
9,Lawrence,Phillips,johnhernandez@example.net,001-723-586-1532,70104.15,1782.35,Auto Loan,D004,True,Kristin Nelson,22932.49,RI,23252,2025-08-22T00:42:26
10,Jeffrey,Horn,yfrancis@example.com,832.824.4652x23054,84373.0,2685.04,Personal Loan,D004,False,,,NM,39215,2025-11-10T22:06:41
11,Jason,Jones,aspencer@example.com,+1-928-333-3461x23559,118196.98,21832.64,Personal Loan,D001,True,Amanda Jefferson,78023.0,OH,46660,2025-07-21T08:10:26
12,Thomas,Joseph,kayla00@example.com,208-655-4644x910,120767.27,47035.45,Personal Loan,D003,False,,,OH,75258,2025-11-27T19:02:51
13,Brandon,Roberts,glee@example.com,(347)483-2533x356,139843.65,5336.13,Home Improvement Loan,D002,True,Zachary Mills,36146.47,DC,24624,2026-04-12T21:03:54
14,Steven,Mathis,cartergail@example.org,+1-271-226-0937x71132,70528.05,14296.1,Personal Loan,D001,False,,,AL,44566,2025-08-22T23:54:15
15,Michael,Harding,ericlee@example.com,903.826.0520,56521.49,27592.11,Auto Loan,D001,True,Christina Anthony,19845.79,NY,82777,2025-11-15T19:38:03
16,Sarah,Miller,cantujennifer@example.com,001-477-953-1790x248,148295.3,38839.99,Auto Loan,D003,True,Joseph Wagner,27924.76,IA,52692,2026-02-01T13:34:01
17,Sandra,Scott,richard67@example.net,001-854-901-0324,112474.45,39718.6,Personal Loan,D003,False,,,DE,34256,2025-09-28T16:27:16
18,Craig,Spence,longtiffany@example.org,(210)998-4427,104640.01,45833.02,Personal Loan,D001,False,,,AR,46345,2025-11-10T19:16:32
19,Jasmine,Smith,troyvillarreal@example.net,(837)422-7838,28262.59,16238.13,Auto Loan,D004,False,,,WY,64968,2025-08-18T06:12:05
20,Amber,Wallace,amanda61@example.org,+1-490-999-9727x0252,102882.47,44473.42,Home Improvement Loan,D003,False,,,WA,58473,2026-04-06T19:35:47
21,Taylor,Murphy,laurenwood@example.org,(636)477-4138x179,112721.82,38278.47,Auto Loan,D002,False,,,WY,18884,2025-10-11T02:06:04
22,Paul,Mueller,washingtonamanda@example.org,001-597-935-6818x63373,84193.43,26613.91,Personal Loan,D004,False,,,MT,88046,2026-03-09T20:20:30
23,Xavier,Jones,acrawford@example.net,+1-317-254-4407x6778,34025.89,2540.03,Home Improvement Loan,D004,False,,,ME,63951,2025-09-02T14:44:11
24,Allison,Edwards,ginawoodard@example.net,937-616-5568x08733,110417.09,7827.24,Auto Loan,D003,False,,,HI,60820,2026-03-21T22:22:05
25,David,Wade,ndean@example.com,8166339234,46397.96,47199.82,Auto Loan,D002,False,,,NV,27172,2026-02-09T21:11:59
26,Kelli,Patel,cchapman@example.net,+1-878-802-1989x964,134460.82,31593.35,Home Improvement Loan,D002,True,Brittany Moody,44674.75,CT,78448,2025-10-19T13:14:53
